Rk,Player,PTS/G,G,Season,Age,Team,G_2,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G_2,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,PlayerID
415,Maxi Kleber,3.0,34,2024-25,33,DAL,34,4,0,18.7,1.1,2.8,0.7,1.4,0.4,1.4,0.5,0.6,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,3.0,0.385,0.511,0.265,0.762,0.489,0.453,F,klebima01
416,Gary Harris,3.0,48,2024-25,30,ORL,48,3,0,14.8,1.1,2.8,0.3,0.7,0.8,2.1,0.1,0.3,0.4,0.9,1.3,0.6,0.5,0.3,0.4,0.9,3.0,0.383,0.469,0.356,0.583,0.524,0.519,G,harriga01
417,Rayan Rupert,3.0,52,2024-25,20,POR,52,0,0,8.8,1.1,2.7,0.8,1.6,0.3,1.1,0.4,0.6,0.5,0.8,1.3,0.5,0.3,0.1,0.6,0.7,3.0,0.408,0.506,0.271,0.767,0.499,0.465,G,ruperra01
418,Tyler Smith,2.9,23,2024-25,20,MIL,23,0,0,5.3,1.0,2.2,0.5,0.9,0.6,1.3,0.3,0.3,0.3,0.8,1.1,0.2,0.1,0.2,0.3,0.5,2.9,0.48,0.55,0.433,0.75,0.626,0.61,F,smithty02
419,Markelle Fultz,2.9,21,2024-25,26,SAC,21,0,0,8.8,1.3,3.2,1.1,2.8,0.2,0.4,0.0,0.0,0.3,0.7,1.0,1.3,0.5,0.1,0.7,0.6,2.9,0.418,0.407,0.5,1.0,0.452,0.448,G,fultzma01
420,Taj Gibson,2.9,37,2024-25,39,CHO,37,11,0,11.1,1.3,2.6,1.2,2.5,0.0,0.1,0.3,0.5,1.4,1.9,3.2,0.6,0.2,0.5,0.7,1.5,2.9,0.495,0.495,0.5,0.6,0.515,0.5,F-C,gibsota01
421,Hunter Tyson,2.6,51,2024-25,24,DEN,51,2,0,7.8,0.9,2.4,0.4,0.9,0.5,1.5,0.4,0.5,0.5,1.0,1.5,0.4,0.2,0.1,0.3,0.9,2.6,0.375,0.478,0.311,0.75,0.506,0.471,F,tysonhu01
422,Josh Minott,2.6,46,2024-25,22,MIN,46,0,0,6.0,1.0,2.0,0.7,1.0,0.3,0.9,0.4,0.4,0.3,0.8,1.0,0.4,0.3,0.3,0.2,0.7,2.6,0.489,0.638,0.326,0.895,0.605,0.567,F,minotjo01
423,Reece Beekman,2.6,36,2024-25,23,GSW,36,4,0,13.0,1.0,3.0,0.8,1.9,0.2,1.1,0.4,0.6,0.4,0.7,1.1,1.8,0.9,0.1,0.6,1.0,2.6,0.327,0.418,0.175,0.762,0.4,0.36,G,beekmre01
424,Jaden Springer,2.5,43,2024-25,22,UTA,43,2,0,8.5,0.8,2.1,0.5,1.0,0.3,1.1,0.6,0.9,0.4,1.0,1.3,0.8,0.6,0.1,0.4,1.0,2.5,0.389,0.548,0.25,0.711,0.511,0.456,G,sprinja01
425,Anthony Gill,2.5,51,2024-25,32,WAS,51,0,0,7.8,0.8,1.7,0.6,1.1,0.2,0.6,0.6,1.0,0.4,0.9,1.3,0.3,0.2,0.0,0.2,0.6,2.5,0.489,0.579,0.323,0.66,0.586,0.545,F,gillan01
426,Pat Spencer,2.5,39,2024-25,28,GSW,39,0,0,6.4,1.1,2.6,0.9,2.0,0.1,0.6,0.3,0.4,0.4,0.8,1.2,1.2,0.4,0.1,0.5,0.5,2.5,0.406,0.456,0.227,0.733,0.455,0.431,G,spencpa01
427,Trey Jemison,2.5,38,2024-25,25,NOP,38,0,0,10.3,1.1,1.9,1.1,1.9,0.0,0.0,0.3,0.9,1.2,1.6,2.8,0.4,0.2,0.4,0.6,1.8,2.5,0.554,0.554,0.0,0.394,0.537,0.554,C,jemistr01
428,Dillon Jones,2.5,54,2024-25,23,OKC,54,3,0,10.2,0.9,2.5,0.6,1.3,0.3,1.2,0.3,0.5,0.6,1.7,2.2,1.1,0.3,0.1,0.5,1.0,2.5,0.383,0.5,0.254,0.607,0.464,0.444,F,jonesdi01
429,John Konchar,2.4,46,2024-25,28,MEM,46,4,0,12.1,0.9,2.0,0.4,0.6,0.5,1.3,0.2,0.2,0.8,2.5,3.3,0.9,0.7,0.3,0.3,0.7,2.4,0.451,0.621,0.371,0.875,0.592,0.577,G,konchjo01
430,Christian Koloko,2.4,37,2024-25,24,LAL,37,0,0,9.2,1.1,1.8,1.1,1.7,0.0,0.1,0.3,0.4,0.9,1.5,2.5,0.4,0.2,0.4,0.3,1.2,2.4,0.606,0.645,0.0,0.714,0.624,0.606,C,kolokch01
431,Johnny Davis,2.4,34,2024-25,22,WAS,34,0,0,7.1,0.9,2.3,0.7,1.4,0.2,0.9,0.3,0.4,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,2.4,0.41,0.51,0.241,0.6,0.473,0.455,G,davisjo06
432,Bronny James,2.3,27,2024-25,20,LAL,27,1,0,6.7,0.8,2.5,0.4,1.3,0.3,1.2,0.4,0.5,0.1,0.5,0.7,0.8,0.3,0.1,0.5,0.5,2.3,0.313,0.343,0.281,0.786,0.424,0.381,G,jamesbr02
433,MarJon Beauchamp,2.3,35,2024-25,24,LACMILNYK,35,0,0,4.5,0.8,1.9,0.5,1.0,0.3,0.8,0.4,0.6,0.3,0.9,1.3,0.3,0.1,0.0,0.4,0.4,2.3,0.415,0.472,0.345,0.75,0.535,0.492,G,beaucma01
434,Patrick Baldwin Jr.,2.2,24,2024-25,22,WAS,24,0,0,4.5,0.8,1.5,0.3,0.5,0.5,1.0,0.1,0.2,0.2,0.8,1.0,0.1,0.1,0.1,0.2,0.3,2.2,0.543,0.5,0.565,0.5,0.721,0.729,G-F,baldwpa01
435,Drew Peterson,2.2,25,2024-25,25,BOS,25,1,0,7.4,0.7,1.6,0.2,0.3,0.5,1.3,0.3,0.4,0.4,1.2,1.6,0.5,0.2,0.1,0.3,0.7,2.2,0.415,0.5,0.394,0.778,0.601,0.573,G,peterdr01
436,Jordan McLaughlin,2.1,46,2024-25,28,SAS,46,0,0,6.8,0.7,1.6,0.3,0.6,0.4,1.0,0.4,0.5,0.1,0.5,0.7,1.1,0.3,0.0,0.3,0.4,2.1,0.431,0.462,0.413,0.773,0.6,0.563,G,mclaujo01
