Rk,Player,PTS/G,G,Season,Age,Team,G_2,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G_2,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,PlayerID
30,James Harden,22.8,79,2024-25,35,LAC,79,79,1,35.3,6.7,16.4,3.7,7.9,3.0,8.5,6.4,7.3,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,0.41,0.472,0.352,0.874,0.582,0.501,G,hardeja01
31,DeMar DeRozan,22.2,77,2024-25,35,SAC,77,77,0,35.9,8.1,17.0,7.0,13.7,1.1,3.3,4.9,5.7,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2,0.477,0.513,0.328,0.857,0.569,0.509,G-F,derozde01
32,Jaylen Brown,22.2,63,2024-25,28,BOS,63,63,1,34.3,8.2,17.7,6.4,12.1,1.8,5.7,3.9,5.1,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,0.463,0.529,0.324,0.764,0.555,0.515,F-G,brownja02
33,Jaren Jackson Jr.,22.2,74,2024-25,25,MEM,74,74,1,29.8,8.0,16.4,6.0,11.1,2.0,5.3,4.2,5.4,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2,0.488,0.541,0.375,0.781,0.591,0.548,F,jacksja02
34,Norman Powell,21.8,60,2024-25,31,LAC,60,60,0,32.6,7.6,15.8,4.6,8.6,3.0,7.1,3.6,4.4,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8,0.484,0.538,0.418,0.804,0.615,0.578,G,powelno01
35,Jalen Williams,21.6,69,2024-25,23,OKC,69,69,1,32.4,8.2,16.9,6.4,12.0,1.8,4.9,3.4,4.3,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6,0.484,0.533,0.365,0.789,0.573,0.537,G,willija06
36,Kawhi Leonard,21.5,37,2024-25,33,LAC,37,37,0,31.9,8.4,16.8,6.3,11.7,2.1,5.1,2.6,3.3,0.9,5.0,5.9,3.1,1.6,0.5,1.9,1.5,21.5,0.498,0.536,0.411,0.81,0.589,0.56,F,leonaka01
37,Jamal Murray,21.4,67,2024-25,27,DEN,67,67,0,36.1,7.9,16.7,5.6,10.8,2.3,5.9,3.3,3.7,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,21.4,0.474,0.518,0.393,0.886,0.584,0.543,G,murraja01
38,Trey Murphy III,21.2,53,2024-25,24,NOP,53,51,0,35.0,7.2,15.8,4.2,7.6,3.0,8.3,3.8,4.3,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2,0.454,0.556,0.361,0.887,0.598,0.548,F,murphtr02
39,CJ McCollum,21.1,56,2024-25,33,NOP,56,56,0,32.7,7.9,17.9,4.9,9.7,3.1,8.2,2.2,3.1,0.8,3.0,3.8,4.1,0.8,0.4,1.9,2.2,21.1,0.444,0.505,0.373,0.717,0.55,0.53,G,mccolcj01
40,RJ Barrett,21.1,58,2024-25,24,TOR,58,58,0,32.2,7.9,16.9,6.1,11.7,1.8,5.3,3.4,5.4,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1,0.468,0.522,0.35,0.63,0.547,0.523,G-F,barrerj01
41,Brandon Miller,21.0,27,2024-25,22,CHO,27,27,0,34.2,7.3,18.2,3.5,7.3,3.9,10.9,2.5,2.9,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,0.403,0.475,0.355,0.861,0.54,0.509,F-G,millebr02
42,Jalen Green,21.0,82,2024-25,22,HOU,82,82,0,32.9,7.4,17.5,4.6,9.5,2.9,8.1,3.3,4.1,0.5,4.0,4.6,3.4,0.9,0.3,2.5,1.5,21.0,0.423,0.482,0.354,0.813,0.544,0.505,G,greenja05
43,Darius Garland,20.6,75,2024-25,25,CLE,75,75,1,30.7,7.4,15.7,4.6,8.6,2.8,7.1,3.0,3.4,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.6,0.472,0.53,0.401,0.878,0.6,0.562,G,garlada01
44,Jordan Poole,20.5,68,2024-25,25,WAS,68,68,0,29.4,6.7,15.5,3.3,6.4,3.5,9.1,3.6,4.0,0.5,2.5,3.0,4.5,1.3,0.4,3.0,3.0,20.5,0.432,0.51,0.378,0.883,0.591,0.544,G,poolejo01
45,Coby White,20.4,74,2024-25,24,CHI,74,73,0,33.1,6.9,15.1,3.9,7.3,2.9,7.9,3.7,4.1,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4,0.453,0.544,0.37,0.902,0.601,0.55,G,whiteco01
46,Miles Bridges,20.3,64,2024-25,26,CHO,64,64,0,31.7,7.3,17.0,5.1,10.0,2.2,7.0,3.5,4.0,1.1,6.4,7.5,3.9,0.7,0.7,2.1,1.5,20.3,0.431,0.513,0.313,0.87,0.541,0.495,G-F,bridgmi02
47,Pascal Siakam,20.2,78,2024-25,30,IND,78,78,1,32.7,7.9,15.2,6.2,11.0,1.6,4.2,2.9,3.9,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2,0.519,0.568,0.389,0.734,0.599,0.572,F-C,siakapa01
48,Austin Reaves,20.2,73,2024-25,26,LAL,73,73,0,34.9,6.5,14.2,3.8,6.9,2.7,7.3,4.4,5.0,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2,0.46,0.547,0.377,0.877,0.616,0.556,G,reaveau01
49,Kristaps Porziņģis,19.5,42,2024-25,29,BOS,42,42,0,28.8,6.6,13.7,4.1,7.7,2.5,6.0,3.8,4.7,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,19.5,0.483,0.537,0.412,0.809,0.618,0.572,F-C,porzikr01
50,Scottie Barnes,19.3,65,2024-25,23,TOR,65,65,0,32.8,7.3,16.4,6.1,12.0,1.2,4.3,3.5,4.6,1.7,6.0,7.7,5.8,1.4,1.0,2.8,1.7,19.3,0.446,0.508,0.271,0.755,0.523,0.482,G-F,barnesc01
51,Anfernee Simons,19.3,70,2024-25,25,POR,70,70,0,32.7,6.8,16.1,3.8,7.6,3.1,8.5,2.5,2.8,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3,0.426,0.496,0.363,0.902,0.557,0.521,G,simonan01
52,Desmond Bane,19.2,69,2024-25,26,MEM,69,68,0,32.0,7.1,14.8,4.8,8.7,2.4,6.1,2.6,2.9,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2,0.484,0.548,0.392,0.894,0.6,0.565,G,banede01
53,Domantas Sabonis,19.1,70,2024-25,28,SAC,70,70,0,34.7,7.5,12.8,6.6,10.5,0.9,2.2,3.1,4.1,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1,0.59,0.627,0.417,0.754,0.655,0.627,C-F,sabondo01
54,Alperen Şengün,19.1,76,2024-25,22,HOU,76,76,1,31.5,7.5,15.0,7.2,13.9,0.3,1.2,3.9,5.6,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1,0.496,0.519,0.233,0.692,0.545,0.505,C-F,sengual01
55,Lauri Markkanen,19.0,47,2024-25,27,UTA,47,47,0,31.4,6.3,14.9,3.4,6.4,2.9,8.5,3.4,3.9,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0,0.423,0.525,0.346,0.876,0.571,0.521,F-C,markkla01
56,John Collins,19.0,40,2024-25,27,UTA,40,31,0,30.5,7.0,13.3,5.5,9.6,1.5,3.7,3.5,4.1,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0,0.527,0.577,0.399,0.848,0.628,0.583,F,collijo01
57,Jalen Johnson,18.9,36,2024-25,23,ATL,36,36,0,35.7,7.5,15.1,6.3,11.1,1.2,3.9,2.6,3.5,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,0.5,0.566,0.312,0.746,0.569,0.541,F,johnsja05
58,Cameron Johnson,18.8,57,2024-25,28,BRK,57,57,0,31.6,6.2,13.1,3.4,5.9,2.8,7.2,3.5,3.9,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8,0.475,0.578,0.39,0.893,0.632,0.582,F,johnsca02
59,Julius Randle,18.7,69,2024-25,30,MIN,69,69,0,32.3,6.6,13.6,5.0,9.1,1.6,4.6,3.9,4.9,2.1,5.0,7.1,4.7,0.7,0.2,2.8,2.5,18.7,0.485,0.555,0.344,0.806,0.593,0.542,F-C,randlju01
60,Tyrese Haliburton,18.6,73,2024-25,24,IND,73,73,0,33.6,6.5,13.8,3.5,6.1,3.0,7.7,2.6,3.0,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6,0.473,0.581,0.388,0.851,0.616,0.582,G,halibty01
61,Shaedon Sharpe,18.5,72,2024-25,21,POR,72,52,0,31.3,6.9,15.3,4.9,8.8,2.0,6.6,2.6,3.4,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5,0.452,0.557,0.311,0.785,0.551,0.519,G,sharpsh01
62,Evan Mobley,18.5,71,2024-25,23,CLE,71,71,1,30.5,7.1,12.8,5.9,9.5,1.2,3.2,3.1,4.3,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.5,0.557,0.621,0.37,0.725,0.633,0.604,F-C,mobleev01
63,Nikola Vučević,18.5,73,2024-25,34,CHI,73,72,0,31.2,7.5,14.2,5.8,9.8,1.8,4.4,1.6,2.0,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,18.5,0.53,0.587,0.402,0.805,0.611,0.592,C,vucevni01
64,Collin Sexton,18.4,63,2024-25,26,UTA,63,61,0,27.9,6.6,13.8,4.9,9.5,1.7,4.3,3.4,4.0,1.0,1.8,2.7,4.2,0.7,0.1,2.5,2.3,18.4,0.48,0.513,0.406,0.865,0.593,0.543,G,sextoco01
65,Michael Porter Jr.,18.2,77,2024-25,26,DEN,77,77,0,33.7,6.9,13.6,4.4,7.3,2.5,6.4,1.9,2.5,1.8,5.2,7.0,2.1,0.6,0.5,1.4,2.0,18.2,0.504,0.599,0.395,0.768,0.617,0.596,F,portemi01
66,Bam Adebayo,18.1,78,2024-25,27,MIA,78,78,0,34.3,6.9,14.3,5.9,11.4,1.0,2.8,3.2,4.2,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,18.1,0.485,0.517,0.357,0.765,0.561,0.521,C-F,adebaba01
67,OG Anunoby,18.0,74,2024-25,27,NYK,74,74,0,36.6,6.6,13.9,4.3,7.7,2.3,6.2,2.5,3.1,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18.0,0.476,0.561,0.372,0.81,0.591,0.559,F,anunoog01
68,Andrew Wiggins,18.0,60,2024-25,29,MIA,60,60,0,30.7,6.3,14.0,4.1,8.2,2.2,5.8,3.3,4.3,1.5,3.0,4.5,2.6,1.0,0.8,1.7,1.7,18.0,0.448,0.501,0.374,0.763,0.566,0.526,F-G,wiggian01
69,Mikal Bridges,17.6,82,2024-25,28,NYK,82,82,0,37.0,7.2,14.4,5.2,8.8,2.0,5.6,1.2,1.4,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.6,0.5,0.594,0.354,0.814,0.585,0.57,F-G,bridgmi01
70,Jaden Ivey,17.6,30,2024-25,22,DET,30,30,0,29.9,6.3,13.8,4.2,8.6,2.1,5.1,2.8,3.9,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,0.46,0.49,0.409,0.733,0.569,0.536,G,iveyja01
71,Jimmy Butler,17.5,55,2024-25,35,MIA,55,55,0,31.7,5.5,10.9,4.9,9.0,0.6,1.9,6.0,7.1,2.3,3.1,5.4,5.4,1.4,0.3,1.3,0.9,17.5,0.504,0.546,0.308,0.842,0.626,0.531,F-G,butleji01
72,Dejounte Murray,17.5,31,2024-25,28,NOP,31,31,0,32.6,6.3,15.9,4.6,10.3,1.7,5.6,3.3,4.0,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,0.393,0.444,0.299,0.823,0.494,0.445,G,murrade01
73,Malik Monk,17.2,65,2024-25,26,SAC,65,45,0,31.6,6.3,14.4,4.2,7.9,2.1,6.6,2.4,2.7,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,17.2,0.439,0.534,0.325,0.865,0.549,0.513,G,monkma01
74,Immanuel Quickley,17.1,33,2024-25,25,TOR,33,33,0,27.8,5.6,13.3,3.0,6.5,2.6,6.8,3.4,3.9,0.5,3.1,3.5,5.8,0.7,0.1,1.8,1.8,17.1,0.42,0.465,0.378,0.867,0.57,0.517,G,quickim01
75,Bradley Beal,17.0,53,2024-25,31,PHO,53,38,0,32.1,6.5,13.1,4.6,8.1,1.9,5.0,2.1,2.6,0.6,2.7,3.3,3.7,1.1,0.5,1.9,2.6,17.0,0.497,0.565,0.386,0.803,0.598,0.571,G,bealbr01
76,De'Andre Hunter,17.0,64,2024-25,27,CLE,64,9,0,27.2,5.6,11.9,3.1,5.8,2.5,6.1,3.4,4.0,0.7,3.3,4.0,1.4,0.8,0.2,1.3,2.4,17.0,0.47,0.537,0.405,0.846,0.623,0.573,F,huntede01
77,Deni Avdija,16.9,72,2024-25,24,POR,72,54,0,30.0,5.6,11.7,3.8,7.0,1.7,4.8,4.0,5.2,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9,0.476,0.552,0.365,0.78,0.605,0.55,G-F,avdijde01
78,Keyonte George,16.8,67,2024-25,21,UTA,67,35,0,31.5,5.4,13.7,2.8,6.1,2.6,7.6,3.5,4.3,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8,0.391,0.449,0.343,0.818,0.539,0.485,G,georgke01
79,Ivica Zubac,16.8,80,2024-25,27,LAC,80,80,0,32.8,7.4,11.8,7.4,11.8,0.0,0.0,2.0,3.0,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8,0.628,0.628,0.0,0.661,0.641,0.628,C,zubaciv01
80,Derrick White,16.4,76,2024-25,30,BOS,76,76,0,33.9,5.6,12.6,2.1,3.5,3.5,9.1,1.8,2.1,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,0.442,0.593,0.384,0.839,0.606,0.58,G,whitede01
81,Malik Beasley,16.3,82,2024-25,28,DET,82,18,0,27.8,5.6,13.1,1.7,3.7,3.9,9.3,1.2,1.7,0.6,2.0,2.6,1.7,0.9,0.1,1.0,1.5,16.3,0.43,0.466,0.416,0.679,0.59,0.579,G,beaslma01
82,Devin Vassell,16.3,64,2024-25,24,SAS,64,53,0,31.0,6.2,13.9,3.7,7.2,2.5,6.7,1.5,1.9,0.5,3.5,4.0,2.9,1.3,0.5,1.4,1.7,16.3,0.443,0.513,0.368,0.792,0.553,0.532,G-F,vassede01
83,Paul George,16.2,41,2024-25,34,PHI,41,41,0,32.5,6.0,13.9,3.6,7.4,2.3,6.5,1.9,2.4,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,0.43,0.493,0.358,0.814,0.543,0.514,F-G,georgpa01
84,Jordan Clarkson,16.2,37,2024-25,32,UTA,37,9,0,26.0,5.4,13.3,3.2,7.1,2.3,6.3,3.1,3.9,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2,0.408,0.448,0.362,0.797,0.54,0.493,G,clarkjo01
85,Jalen Suggs,16.2,35,2024-25,23,ORL,35,35,0,28.6,5.6,13.7,3.5,6.8,2.2,6.9,2.8,3.1,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,0.41,0.506,0.314,0.882,0.536,0.489,G,suggsja01
86,Bennedict Mathurin,16.1,72,2024-25,22,IND,72,49,0,29.8,5.4,11.8,4.1,7.8,1.4,4.0,3.8,4.6,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,0.458,0.519,0.34,0.831,0.579,0.516,G-F,mathube01
87,Myles Turner,15.6,72,2024-25,28,IND,72,72,0,30.2,5.4,11.3,3.3,5.8,2.2,5.5,2.6,3.3,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,0.481,0.561,0.396,0.773,0.612,0.577,C-F,turnemy01
88,Christian Braun,15.4,79,2024-25,23,DEN,79,77,0,33.9,6.0,10.4,4.9,7.6,1.1,2.8,2.2,2.7,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,15.4,0.58,0.648,0.397,0.827,0.665,0.634,G,braunch01
89,Jared McCain,15.3,23,2024-25,20,PHI,23,8,0,25.7,5.5,11.9,3.3,6.1,2.2,5.8,2.1,2.4,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,0.46,0.532,0.383,0.875,0.589,0.553,G,mccaija01
90,Jonathan Kuminga,15.3,47,2024-25,22,GSW,47,10,0,24.3,5.5,12.1,4.5,8.9,1.0,3.2,3.3,5.0,1.2,3.4,4.6,2.2,0.8,0.4,1.5,1.9,15.3,0.454,0.508,0.305,0.668,0.535,0.495,F,kuminjo01
91,Mark Williams,15.3,44,2024-25,23,CHO,44,41,0,26.6,6.1,10.2,6.1,10.1,0.0,0.1,3.0,3.7,3.0,7.2,10.2,2.5,0.7,1.2,1.6,2.4,15.3,0.604,0.609,0.0,0.804,0.647,0.604,C,willima07
92,Kelly Oubre Jr.,15.1,60,2024-25,29,PHI,60,57,0,34.6,5.8,12.4,4.6,8.3,1.2,4.0,2.3,3.1,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,0.47,0.555,0.293,0.751,0.551,0.518,F,oubreke01
93,Chet Holmgren,15.0,32,2024-25,22,OKC,32,32,0,27.4,5.2,10.7,3.8,7.0,1.4,3.6,3.2,4.2,1.5,6.5,8.0,2.0,0.7,2.2,1.8,2.3,15.0,0.49,0.547,0.379,0.754,0.599,0.554,F-C,holmgch01
94,Kyle Kuzma,14.8,65,2024-25,29,WAS,65,62,0,29.8,5.7,13.0,4.2,8.2,1.5,4.8,2.0,3.1,0.8,4.9,5.7,2.3,0.6,0.3,2.2,1.8,14.8,0.436,0.512,0.307,0.634,0.514,0.493,F,kuzmaky01
95,Stephon Castle,14.7,81,2024-25,20,SAS,81,47,0,26.7,5.2,12.2,4.0,8.1,1.2,4.1,3.1,4.2,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2.0,14.7,0.428,0.501,0.285,0.724,0.522,0.476,G,castlst01
96,Aaron Gordon,14.7,51,2024-25,29,DEN,51,42,0,28.4,5.2,9.7,3.7,6.4,1.5,3.4,2.8,3.5,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,0.531,0.582,0.436,0.81,0.65,0.607,F,gordoaa01
97,P.J. Washington,14.7,57,2024-25,26,DAL,57,56,0,32.2,5.3,11.7,3.7,7.5,1.6,4.2,2.5,3.5,1.4,6.3,7.8,2.3,1.1,1.1,2.1,2.3,14.7,0.453,0.493,0.381,0.722,0.556,0.521,F,washipj01
98,Josh Giddey,14.6,70,2024-25,22,CHI,70,69,0,30.2,5.3,11.4,3.8,7.4,1.5,4.0,2.5,3.2,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,14.6,0.465,0.512,0.378,0.781,0.57,0.531,G,giddejo01
99,Quentin Grimes,14.6,75,2024-25,24,PHI,75,37,0,26.8,5.1,11.0,3.0,5.4,2.2,5.6,2.2,2.9,0.8,3.5,4.3,3.0,1.0,0.3,1.9,1.8,14.6,0.467,0.552,0.385,0.757,0.595,0.565,G,grimequ01
100,Jakob Poeltl,14.5,57,2024-25,29,TOR,57,56,0,29.6,6.4,10.2,6.4,10.1,0.0,0.1,1.7,2.5,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5,0.627,0.628,0.333,0.674,0.641,0.628,C,poeltja01
101,Jerami Grant,14.4,47,2024-25,30,POR,47,47,0,32.4,4.6,12.2,2.3,5.9,2.3,6.3,3.0,3.5,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4,0.373,0.381,0.365,0.849,0.523,0.467,F,grantje01
102,Deandre Ayton,14.4,40,2024-25,26,POR,40,40,0,30.2,6.6,11.7,6.5,10.9,0.2,0.8,1.0,1.5,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,0.566,0.594,0.188,0.667,0.583,0.573,C,aytonde01
103,Gradey Dick,14.4,54,2024-25,21,TOR,54,54,0,29.4,4.9,12.0,2.8,5.9,2.1,6.0,2.5,2.9,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4,0.41,0.47,0.35,0.858,0.543,0.498,G,dickgr01
104,Payton Pritchard,14.3,80,2024-25,27,BOS,80,3,0,28.4,5.1,10.8,1.9,3.0,3.2,7.8,0.9,1.1,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,14.3,0.472,0.642,0.407,0.845,0.633,0.62,G,pritcpa01
105,Naz Reid,14.2,80,2024-25,25,MIN,80,17,0,27.5,5.3,11.5,3.1,5.8,2.2,5.8,1.4,1.8,1.2,4.9,6.0,2.3,0.7,0.9,1.4,2.4,14.2,0.462,0.544,0.379,0.776,0.577,0.556,F,reidna01
106,Dyson Daniels,14.1,76,2024-25,21,ATL,76,76,0,33.8,6.0,12.1,4.9,9.1,1.1,3.1,1.1,1.8,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,14.1,0.493,0.545,0.34,0.593,0.545,0.536,G,daniedy01
107,Fred VanVleet,14.1,60,2024-25,30,HOU,60,60,0,35.2,4.8,12.7,2.1,5.0,2.7,7.7,1.9,2.3,0.5,3.2,3.7,5.6,1.6,0.4,1.5,2.3,14.1,0.378,0.43,0.345,0.81,0.515,0.483,G,vanvlfr01
108,Amen Thompson,14.1,69,2024-25,22,HOU,69,42,0,32.2,5.6,10.1,5.3,8.8,0.4,1.3,2.4,3.6,2.8,5.4,8.2,3.8,1.4,1.3,2.0,2.4,14.1,0.557,0.599,0.275,0.684,0.602,0.575,G,thompam01
109,Dillon Brooks,14.0,75,2024-25,29,HOU,75,75,0,31.8,5.1,11.9,2.6,5.7,2.5,6.3,1.3,1.6,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.2,14.0,0.429,0.465,0.397,0.818,0.555,0.533,F-G,brookdi01
110,Klay Thompson,14.0,72,2024-25,34,DAL,72,72,0,27.3,5.0,12.2,2.0,4.5,3.0,7.7,0.9,1.0,0.6,2.8,3.4,2.0,0.7,0.4,1.2,1.1,14.0,0.412,0.448,0.391,0.905,0.552,0.535,G-F,thompkl01
111,Bobby Portis,13.9,49,2024-25,29,MIL,49,7,0,25.4,5.7,12.1,4.3,8.5,1.3,3.6,1.2,1.5,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,13.9,0.466,0.508,0.365,0.836,0.542,0.52,F,portibo01
112,Tobias Harris,13.7,73,2024-25,32,DET,73,73,0,31.6,5.3,11.0,4.0,7.4,1.2,3.6,2.0,2.3,0.9,5.0,5.9,2.2,1.0,0.8,1.2,1.9,13.7,0.477,0.542,0.345,0.861,0.571,0.534,F,harrito02
113,Josh Hart,13.6,77,2024-25,29,NYK,77,77,0,37.6,5.2,10.0,4.2,6.7,1.1,3.3,2.1,2.7,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,0.525,0.618,0.333,0.776,0.611,0.579,G,hartjo01
114,Jarrett Allen,13.5,82,2024-25,26,CLE,82,82,0,28.0,5.5,7.8,5.5,7.7,0.0,0.1,2.4,3.4,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5,0.706,0.712,0.0,0.718,0.724,0.706,C-F,allenja01
115,Onyeka Okongwu,13.4,74,2024-25,24,ATL,74,40,0,27.9,5.2,9.2,4.6,7.2,0.6,2.0,2.2,2.9,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,0.567,0.634,0.324,0.759,0.634,0.602,F,okongon01
116,Russell Westbrook,13.3,75,2024-25,36,DEN,75,36,0,27.9,5.0,11.1,3.7,7.2,1.3,3.9,2.1,3.1,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,13.3,0.449,0.517,0.323,0.661,0.532,0.505,G,westbru01
117,Naji Marshall,13.2,69,2024-25,27,DAL,69,31,0,27.8,5.2,10.3,4.4,7.2,0.9,3.2,1.9,2.3,1.1,3.7,4.8,3.0,1.0,0.2,1.6,1.6,13.2,0.508,0.611,0.275,0.813,0.584,0.551,F,marshna01
118,Rui Hachimura,13.1,59,2024-25,26,LAL,59,57,0,31.7,5.0,9.8,3.2,5.6,1.7,4.2,1.5,1.9,1.3,3.7,5.0,1.4,0.8,0.4,0.8,1.8,13.1,0.509,0.581,0.413,0.77,0.619,0.597,F,hachiru01
119,Dennis Schröder,13.1,75,2024-25,31,BRKDETGSW,75,49,0,28.1,4.5,11.0,2.8,6.1,1.7,4.9,2.4,2.9,0.4,2.3,2.6,5.4,0.9,0.2,1.9,2.4,13.1,0.406,0.458,0.342,0.838,0.531,0.483,G,schrode01
120,Brook Lopez,13.0,80,2024-25,36,MIL,80,80,0,31.8,4.9,9.7,3.2,5.0,1.7,4.7,1.4,1.7,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,13.0,0.509,0.636,0.373,0.826,0.624,0.599,C,lopezbr01
121,Alex Sarr,13.0,67,2024-25,19,WAS,67,67,0,27.1,4.9,12.4,3.3,7.3,1.6,5.1,1.7,2.5,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,13.0,0.394,0.454,0.308,0.679,0.482,0.457,F,sarral01
122,Moritz Wagner,12.9,30,2024-25,27,ORL,30,1,0,18.8,4.7,8.3,3.8,5.8,0.9,2.5,2.6,3.7,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,0.562,0.649,0.36,0.718,0.649,0.616,F-C,wagnemo01
123,Keldon Johnson,12.7,77,2024-25,25,SAS,77,0,0,23.9,4.8,10.0,3.7,6.4,1.1,3.6,1.9,2.5,1.5,3.4,4.8,1.6,0.6,0.3,1.0,1.5,12.7,0.482,0.573,0.318,0.773,0.572,0.538,G,johnske04
124,Malcolm Brogdon,12.7,24,2024-25,32,WAS,24,13,0,23.5,4.3,10.0,3.7,7.7,0.7,2.3,3.4,3.8,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7,0.433,0.478,0.286,0.88,0.544,0.467,G,brogdma01
125,Scoot Henderson,12.7,66,2024-25,20,POR,66,10,0,26.7,4.3,10.4,2.8,5.9,1.6,4.5,2.4,3.1,0.8,2.2,3.0,5.1,1.0,0.2,2.7,2.7,12.7,0.419,0.469,0.354,0.767,0.54,0.496,G,hendesc01
126,D'Angelo Russell,12.6,58,2024-25,28,LAL,58,36,0,25.5,4.3,11.0,2.3,4.8,1.9,6.2,2.1,2.5,0.3,2.4,2.8,5.1,1.0,0.4,1.9,2.0,12.6,0.39,0.489,0.314,0.834,0.522,0.479,G,russeda01
127,Zaccharie Risacher,12.6,75,2024-25,19,ATL,75,73,0,24.6,4.8,10.4,3.1,5.8,1.6,4.6,1.4,2.0,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2.0,12.6,0.458,0.54,0.355,0.711,0.558,0.537,F,risacza01
128,Ty Jerome,12.5,70,2024-25,27,CLE,70,3,0,19.9,4.6,8.8,3.0,5.2,1.6,3.6,1.8,2.1,0.7,1.8,2.5,3.4,1.1,0.0,1.3,1.5,12.5,0.516,0.57,0.439,0.872,0.643,0.606,G,jeromty01
129,Santi Aldama,12.5,65,2024-25,24,MEM,65,16,0,25.5,4.8,10.0,3.0,5.0,1.8,5.0,1.0,1.4,1.4,5.0,6.4,2.9,0.8,0.4,1.1,1.2,12.5,0.483,0.599,0.368,0.691,0.588,0.576,F,aldamsa01
