Date,Start (ET),VisitorTeam,HomeTeam,Arena,Notes
2025-11-28,7:30p,Philadelphia 76ers,Brooklyn Nets,Barclays Center,NBA Cup
2025-11-28,7:30p,Chicago Bulls,Charlotte Hornets,Spectrum Center,NBA Cup
2025-11-28,7:30p,Orlando Magic,Detroit Pistons,Little Caesars Arena,NBA Cup
2025-11-28,7:30p,Washington Wizards,Indiana Pacers,Gainbridge Fieldhouse,NBA Cup
2025-11-28,7:30p,Milwaukee Bucks,New York Knicks,Madison Square Garden (IV),NBA Cup
2025-11-28,9:30p,San Antonio Spurs,Denver Nuggets,Ball Arena,NBA Cup
2025-11-28,9:30p,Phoenix Suns,Oklahoma City Thunder,Paycom Center,NBA Cup
2025-11-28,9:30p,Sacramento Kings,Utah Jazz,Delta Center,NBA Cup
2025-11-28,10:00p,Memphis Grizzlies,Los Angeles Clippers,Intuit Dome,NBA Cup
2025-11-28,10:00p,Dallas Mavericks,Los Angeles Lakers,Crypto.com Arena,NBA Cup
2025-11-29,5:00p,Boston Celtics,Minnesota Timberwolves,Target Center,
2025-11-29,6:00p,Toronto Raptors,Charlotte Hornets,Spectrum Center,
2025-11-29,7:30p,Chicago Bulls,Indiana Pacers,Gainbridge Fieldhouse,
2025-11-29,8:00p,Detroit Pistons,Miami Heat,Kaseya Center,
2025-11-29,8:00p,Brooklyn Nets,Milwaukee Bucks,Fiserv Forum,
2025-11-29,8:30p,New Orleans Pelicans,Golden State Warriors,Chase Center,
2025-11-29,9:00p,Denver Nuggets,Phoenix Suns,Mortgage Matchup Center,
2025-11-29,10:00p,Dallas Mavericks,Los Angeles Clippers,Intuit Dome,
2025-11-30,3:00p,Houston Rockets,Utah Jazz,Delta Center,
2025-11-30,6:00p,Boston Celtics,Cleveland Cavaliers,Rocket Arena,
2025-11-30,6:00p,Toronto Raptors,New York Knicks,Madison Square Garden (IV),
2025-11-30,6:00p,Atlanta Hawks,Philadelphia 76ers,Xfinity Mobile Arena,
2025-11-30,6:00p,Oklahoma City Thunder,Portland Trail Blazers,Moda Center,
2025-11-30,7:00p,San Antonio Spurs,Minnesota Timberwolves,Target Center,
2025-11-30,9:00p,Memphis Grizzlies,Sacramento Kings,Golden 1 Center,
2025-11-30,9:30p,New Orleans Pelicans,Los Angeles Lakers,Crypto.com Arena,
